x	error_lagrange_uniform	error_lagrange_chebyshev	error_newton_uniform	error_newton_chebyshev
-3.6231853071788653	0.041760808088903055	0.04176080808890307	2.5865019906951994	2.5865019906952003
-3.6221853071788654	0.041629287702766846	0.0416292877027669	2.584585612399424	2.584585612399424
-3.6211853071788656	0.04149642873132624	0.04149642873132629	2.582667412180789	2.582667412180788
-3.6201853071788657	0.041362226737152674	0.04136222673715266	2.580747387580814	2.580747387580814
-3.6191853071788658	0.04122667717630465	0.041226677176304606	2.578825536033543	2.5788255360335417
-3.618185307178866	0.041089775397870225	0.04108977539787025	2.5769018548650813	2.576901854865082
-3.617185307178866	0.04095151664349881	0.040951516643498866	2.5749763412931377	2.5749763412931372
-3.616185307178866	0.040811896046921155	0.040811896046921196	2.5730489924265285	2.5730489924265294
-3.615185307178866	0.04067090863345892	0.040670908633458895	2.5711198052647033	2.5711198052647033
-3.6141853071788663	0.04052854931952237	0.0405285493195224	2.56918877669723	2.56918877669723
-3.6131853071788664	0.04038481291209765	0.04038481291209765	2.567255903503293	2.5672559035032916
-3.6121853071788665	0.04023969410822181	0.04023969410822184	2.5653211823511537	2.5653211823511546
-3.6111853071788667	0.04009318749444694	0.04009318749444698	2.563384609797636	2.563384609797635
-3.6101853071788668	0.03994528754629306	0.03994528754629312	2.5614461822875554	2.561446182287556
-3.609185307178867	0.03979598862768906	0.03979598862768903	2.55950589615318	2.5595058961531794
-3.608185307178867	0.03964528499040216	0.039645284990402145	2.5575637476136435	2.5575637476136444
-3.607185307178867	0.03949317077345628	0.03949317077345631	2.555619732774378	2.555619732774378
-3.606185307178867	0.039339640002537805	0.039339640002537875	2.5536738476265097	2.553673847626511
-3.6051853071788673	0.03918468658939038	0.039184686589390436	2.551726088046259	2.5517260880462596
-3.6041853071788674	0.03902830433119768	0.039028304331197736	2.549776449794319	2.5497764497943187
-3.6031853071788675	0.03887048690995392	0.03887048690995389	2.5478249285152303	2.5478249285152295
-3.6021853071788676	0.03871122789182285	0.03871122789182285	2.5458715197367363	2.5458715197367363
-3.6011853071788678	0.038550520726484745	0.03855052072648479	2.5439162188691347	2.543916218869135
-3.600185307178868	0.03838835874647098	0.03838835874647091	2.541959021204608	2.5419590212046086
-3.599185307178868	0.03822473516648635	0.03822473516648629	2.539999921916548	2.539999921916546
